notice_date,year,month,year_month,line_key,line_name,location_direction,notice_tsr_count,distinct_tsr_count
2018-09-01,2018,09,2018-09,FTM,Fremantle Line,Unknown,1,1
2018-09-01,2018,09,2018-09,UNCLASSIFIED,Unclassified,Down,1,1
2018-09-01,2018,09,2018-09,UNCLASSIFIED,Unclassified,Unknown,1,1
2018-09-08,2018,09,2018-09,FTM,Fremantle Line,Unknown,1,1
2018-09-15,2018,09,2018-09,FTM,Fremantle Line,Unknown,1,1
2018-09-22,2018,09,2018-09,FTM,Fremantle Line,Unknown,1,1
2018-09-29,2018,09,2018-09,FTM,Fremantle Line,Unknown,1,1
2018-10-06,2018,10,2018-10,FTM,Fremantle Line,Unknown,1,1
2018-10-13,2018,10,2018-10,FTM,Fremantle Line,Unknown,1,1
2018-10-20,2018,10,2018-10,FTM,Fremantle Line,Unknown,1,1
2018-10-27,2018,10,2018-10,FTM,Fremantle Line,Unknown,1,1
2018-11-03,2018,11,2018-11,FTM,Fremantle Line,Unknown,1,1
2018-11-10,2018,11,2018-11,FTM,Fremantle Line,Unknown,1,1
2018-11-17,2018,11,2018-11,FTM,Fremantle Line,Unknown,1,1
2018-11-24,2018,11,2018-11,FTM,Fremantle Line,Unknown,1,1
2018-12-01,2018,12,2018-12,FTM,Fremantle Line,Unknown,1,1
2018-12-08,2018,12,2018-12,FTM,Fremantle Line,Unknown,1,1
2018-12-14,2018,12,2018-12,FTM,Fremantle Line,Unknown,2,1
2018-12-15,2018,12,2018-12,FTM,Fremantle Line,Unknown,1,1
2019-01-04,2019,01,2019-01,FTM,Fremantle Line,Unknown,1,1
2019-01-11,2019,01,2019-01,FTM,Fremantle Line,Unknown,1,1
2019-01-18,2019,01,2019-01,FTM,Fremantle Line,Unknown,1,1
2019-01-18,2019,01,2019-01,JTM,Joondalup Line,Unknown,1,1
2019-01-25,2019,01,2019-01,FTM,Fremantle Line,Unknown,1,1
2019-01-25,2019,01,2019-01,JTM,Joondalup Line,Unknown,1,1
2019-03-23,2019,03,2019-03,FTM,Fremantle Line,Unknown,3,3
2019-03-23,2019,03,2019-03,JTM,Joondalup Line,Unknown,1,1
2019-03-30,2019,03,2019-03,FTM,Fremantle Line,Unknown,1,1
2019-03-30,2019,03,2019-03,JTM,Joondalup Line,Unknown,1,1
2019-04-13,2019,04,2019-04,FTM,Fremantle Line,Unknown,1,1
2019-04-13,2019,04,2019-04,JTM,Joondalup Line,Unknown,1,1
2019-04-27,2019,04,2019-04,FTM,Fremantle Line,Unknown,1,1
2019-04-27,2019,04,2019-04,JTM,Joondalup Line,Unknown,1,1
2019-05-04,2019,05,2019-05,FTM,Fremantle Line,Unknown,1,1
2019-05-04,2019,05,2019-05,JTM,Joondalup Line,Unknown,1,1
2019-05-11,2019,05,2019-05,FTM,Fremantle Line,Unknown,1,1
2019-05-11,2019,05,2019-05,JTM,Joondalup Line,Unknown,1,1
2019-05-18,2019,05,2019-05,FTM,Fremantle Line,Unknown,1,1
2019-05-18,2019,05,2019-05,JTM,Joondalup Line,Unknown,1,1
2019-05-25,2019,05,2019-05,FTM,Fremantle Line,Unknown,1,1
