notice_date,line_key,line_name,location_direction,affected_area,location,distance_km,location_from_km,location_to_km,stn_no,max_speed,date_imposed_normalised,reason_raw,reason_group,date_cancelled_raw,date_cancelled_normalised,source_page,source_row_number,extraction_strategy,row_quality,normalisation_notes
2026-06-28,UNCLASSIFIED,Unclassified,Unknown,Beyond Service 21.012km- N/A,Beyond Service,21.012km- N/A,21.012,21.012,,20km/h,,01-Sep-11 Pedestrian Crossing Indefinite 26.000km,Level crossing / pedestrian crossing,,,3,1,text_line,repaired,strategy=text_line; line_not_inferred; direction_not_inferred
2026-06-28,UNCLASSIFIED,Unclassified,Unknown,Beyond Service 40.747km -,Beyond Service,40.747km -,40.747,40.747,21-08-024,60km/h,,05-Aug-21 Signals,Signals / train control,Indefinite,,3,2,text_line,repaired,strategy=text_line; line_not_inferred; direction_not_inferred
2026-06-28,CTM,City / Central Area,Unknown,40.874km CTMUP 0.948km - 1.069km 40.874km CTMUP 0.948km - 1.069km,40.874km CTMUP 0.948km - 1.069km,40.874km CTMUP 0.948km - 1.069km,0.948,40.874,26-02-018,20km/h,2026-08-01,03-Feb-26 Ultrasonic Defect,Rail internal defect,,,3,3,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,MTM,Midland Line,Unknown,MTMDN 7.900km - 8.150km,MTMDN,7.900km - 8.150km,7.9,8.15,20-03-125,80km/h,,27-Mar-20 Turnout,Turnout / points,Permanent TSR,,3,4,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,MTM,Midland Line,Unknown,MTMUP 8.100km - 8.200km,MTMUP,8.100km - 8.200km,8.1,8.2,24-06-128,80km/h,,18-Jun-24 Turnout,Turnout / points,Permanent TSR,,3,5,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,MTM,Midland Line,Unknown,MTMDN 0.580km - 0.800km,MTMDN,0.580km - 0.800km,0.58,0.8,24-09-124,60km/h,,24-Sep-24 Noise Mitigation,Noise mitigation,TBD,,3,6,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,MTM,Midland Line,Unknown,MTMUP 0.660km - 0.950km,MTMUP,0.660km - 0.950km,0.66,0.95,26-06-007,60km/h,,3-Mar-25 Rail Surface Defect,Rail surface defect,TBD,,3,7,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,JTM,Joondalup Line,Unknown,JTMDN 19.150km - 20.150km,JTMDN,19.150km - 20.150km,19.15,20.15,21-06-024,80km/h,,03-Jun-21 Turnout,Turnout / points,Permanent TSR,,3,8,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,JTM,Joondalup Line,Unknown,JTMUP 8.689km - 8.989km,JTMUP,8.689km - 8.989km,8.689,8.989,24-03-137,80km/h,,19-Mar-24 Track Geometry,Track geometry,TBD,,3,9,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,JTM,Joondalup Line,Unknown,JTMDN 25.630km - 25.960km,JTMDN,25.630km - 25.960km,25.63,25.96,24-09-096,80km/h,,18-Sep-24 Turnout,Turnout / points,Permanent TSR,,3,10,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,JTM,Joondalup Line,Unknown,JTMUP 19.220km - 19.328km,JTMUP,19.220km - 19.328km,19.22,19.328,25-11-120,40km/h,,27- Feb- 26 Turnout,Turnout / points,Permanent TSR,,3,11,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,FTM,Fremantle Line,Unknown,FTMUP 6.950km - 7.170km,FTMUP,6.950km - 7.170km,6.95,7.17,24-06-084,40km/h,,13-Jun-24 Rail Internal Defect,Rail internal defect,TBD,,3,12,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,FTM,Fremantle Line,Unknown,FTMDN 6.800km - 7.1700km,FTMDN,6.800km - 7.1700km,6.8,7.17,24-09-007,30km/h,,03-Sep-24 Structural Integrity,Structures / bridge,TBD,,3,13,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,FTM,Fremantle Line,Unknown,FTMUP 14.510km - 14.670km,FTMUP,14.510km - 14.670km,14.51,14.67,25-11-113,30km/h,,21-Nov-25 Rail Surface Defect,Rail surface defect,01/03/2027,2027-03-01,3,14,text_line,repaired,strategy=text_line; direction_not_inferred
2026-06-28,TTM,Thornlie Line,Unknown,TTMUP 01.450km - 02.550km,TTMUP,01.450km - 02.550km,1.45,2.55,25-03-171,90km/h,,31-Mar-25 New Rail,New rail / weld,TBD,,3,15,text_line,repaired,strategy=text_line; direction_not_inferred
