tsr_master_id,line_key,line_name,location_direction,affected_area,latest_reason_raw,reason_group,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,duration_bucket
3009,JTM,Joondalup Line,Unknown,JTMUP 19.150km - 20.150km,17-Sep-21 Turnout,Turnout / points,2023-11-12,2026-03-08,116,0,2026-03-08,2-5 years
3688,JTM,Joondalup Line,Unknown,JTMUP 8.689km - 8.989km,19-Mar-24 Track Geometry,Track geometry,2024-07-07,2026-06-28,96,1,,1-2 years
2084,FTM,Fremantle Line,Unknown,FTMDN 6.9500km to 7.1700km,8-Jul-22 Structural Integrity,Structures / bridge,2022-12-24,2023-11-05,92,0,2023-11-05,1-2 years
3685,JTM,Joondalup Line,Unknown,JTMDN 19.150km - 20.150km,03-Jun-21 Turnout,Turnout / points,2024-07-07,2026-06-28,92,1,,1-2 years
632,JTMUP,Joondalup Line,Up,Up Main issues Joondalup JTMDN 25.960km to 25.848km,Turnout design,Turnout / points,2020-12-19,2022-10-01,77,0,2022-10-01,1-2 years
4016,JTM,Joondalup Line,Unknown,JTMUP 40.429km - 40.660km,15-Oct-24 Rail Surface Defect,Rail surface defect,2024-11-24,2026-04-19,72,0,2026-04-19,1-2 years
2172,UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled Beyond Service 21.012km - 26.000km N/A,01-Sep-11 Pedestrian Crossing Issue,Level crossing / pedestrian crossing,2023-01-28,2025-03-23,71,0,2025-03-23,1-2 years
4377,MTM,Midland Line,Unknown,MTMUP 0.660km - 0.950km,3-Mar-25 Rail Surface Defect,Rail surface defect,2025-03-09,2026-06-14,67,0,2026-06-14,1-2 years
3645,MTM,Midland Line,Unknown,MTMUP 8.100km - 8.200km,18-Jun-24 Turnout,Turnout / points,2024-06-23,2026-06-28,62,1,,1-2 years
4273,MTM,Midland Line,Unknown,MTMDN 0.660km - 0.800km,24-Sep-24 Noise Mitigation,Noise mitigation,2025-02-09,2026-04-05,61,0,2026-04-05,1-2 years
