year,month,year_month,line_key,line_name,location_direction,restriction_occurrences,distinct_tsr_count
2018,09,2018-09,FTM,Fremantle Line,Unknown,5,1
2018,09,2018-09,UNCLASSIFIED,Unclassified,Down,1,1
2018,09,2018-09,UNCLASSIFIED,Unclassified,Unknown,1,1
2018,10,2018-10,FTM,Fremantle Line,Unknown,4,1
2018,11,2018-11,FTM,Fremantle Line,Unknown,4,1
2018,12,2018-12,FTM,Fremantle Line,Unknown,5,1
2019,01,2019-01,FTM,Fremantle Line,Unknown,4,1
2019,01,2019-01,JTM,Joondalup Line,Unknown,2,1
2019,03,2019-03,FTM,Fremantle Line,Unknown,4,4
2019,03,2019-03,JTM,Joondalup Line,Unknown,2,2
2019,04,2019-04,FTM,Fremantle Line,Unknown,2,1
2019,04,2019-04,JTM,Joondalup Line,Unknown,2,1
2019,05,2019-05,FTM,Fremantle Line,Unknown,4,1
2019,05,2019-05,JTM,Joondalup Line,Unknown,4,1
2019,06,2019-06,FTM,Fremantle Line,Unknown,6,2
2019,06,2019-06,JTM,Joondalup Line,Unknown,6,2
2019,06,2019-06,JTM,Joondalup Line,Yard,1,1
2019,07,2019-07,ATM,Armadale Line,Unknown,3,3
2019,07,2019-07,FTM,Fremantle Line,Unknown,6,4
2019,07,2019-07,JTM,Joondalup Line,Unknown,7,5
2019,07,2019-07,JTM,Joondalup Line,Yard,4,2
2019,08,2019-08,ATM,Armadale Line,Unknown,12,6
2019,08,2019-08,FTM,Fremantle Line,Unknown,4,2
2019,08,2019-08,JTM,Joondalup Line,Unknown,4,2
2019,08,2019-08,JTM,Joondalup Line,Yard,4,2
2019,09,2019-09,ATM,Armadale Line,Unknown,12,4
2019,09,2019-09,FTM,Fremantle Line,Unknown,4,1
2019,09,2019-09,JTM,Joondalup Line,Unknown,4,1
2019,09,2019-09,JTM,Joondalup Line,Yard,4,1
2019,09,2019-09,MTM,Midland Line,Unknown,2,1
2019,10,2019-10,ATM,Armadale Line,Unknown,3,3
2019,10,2019-10,ATMUP,Armadale Line,Up,2,2
2019,10,2019-10,FTM,Fremantle Line,Unknown,2,2
2019,10,2019-10,JTM,Joondalup Line,Unknown,1,1
2019,10,2019-10,JTM,Joondalup Line,Yard,1,1
2019,10,2019-10,MTM,Midland Line,Unknown,1,1
