reason_group,reason_raw,restriction_occurrences,distinct_tsr_count
Turnout / points,Turnout design,201,10
Turnout / points,Turnout defects &,190,12
Track geometry,Track Geometry,155,16
Signals / train control,5-Aug-21 Signals,145,4
Turnout / points,17-Sep-21 Turnout,145,2
Noise mitigation,28-Sep-21 Noise Mitigation,142,5
Turnout / points,03-Jun-21 Turnout,124,2
Turnout / points,27-Mar-20 Turnout,121,5
Track geometry,19-Mar-24 Track Geometry,110,2
Turnout / points,18-Sep-24 Turnout,110,3
Track geometry,29-Oct-21 Track Geometry,91,5
Turnout / points,21-Apr-20 Turnout,90,3
Noise mitigation,24-Sep-24 Noise Mitigation,86,3
Turnout / points,Turnout design issues,84,10
Level crossing / pedestrian crossing,15-Feb-21 Pedestrian Crossing Issue,82,3
Track condition,Track Project,81,12
Structures / bridge,8-Jul-22 Structural Integrity,76,2
Signals / train control,Signalling Issues,75,6
Rail surface defect,15-Oct-24 Rail Surface Defect,72,1
Level crossing / pedestrian crossing,01-Sep-11 Pedestrian Crossing Issue,71,1
Noise mitigation,Noise Mitigation,70,4
Rail surface defect,3-Mar-25 Rail Surface Defect,69,2
Turnout / points,Turnout defects,67,11
Rail surface defect,4-Sep-24 Rail Surface Defect,66,3
Structures / bridge,27-Oct-22 Structural Integrity,66,2
Track geometry,23-Jan-23 Track Geometry,66,2
Rail internal defect,13-Jun-24 Rail Internal Defect,64,2
Track condition,Rail defects,64,12
Turnout / points,18-Jun-24 Turnout,62,1
Turnout / points,30-Jan-24 Turnout,59,2
Turnout / points,15-Oct-24 Turnout,58,1
Other / review required,27-Mar-20 Permanent TSR,57,5
Rail internal defect,27- Feb-25 Rail Internal Defect,57,2
Turnout / points,31-Jan-22 Turnout,56,2
Turnout / points,25-Oct-22 Points Fault,55,2
New rail / weld,31-Mar-25 New Rail,52,1
Other / review required,22-Apr-22 Miscellaneous,49,2
Track geometry,29-Nov-23 Track Geometry,45,2
Turnout / points,11-Jul-24 Turnout,45,1
Turnout / points,3-Sep-24 Turnout,45,3
Level crossing / pedestrian crossing,01-Sep-11 Pedestrian Crossing,42,1
Structures / bridge,03-Sep-24 Structural Integrity,42,1
Track condition,Rail Defects,41,7
Rail surface defect,5-Sep-25 Rail Surface Defect,40,3
Level crossing / pedestrian crossing,Pedestrian Crossing Review,38,2
Signals / train control,Signalling,36,3
Track geometry,28-Feb-25 Track Alignment,36,1
Noise mitigation,Excessive Noise,35,4
Track condition,Track Defects,35,5
Structures / bridge,8-Jul-22 Structural integrity,34,1
Level crossing / pedestrian crossing,01-Sep-11 Pedestrian Crossing Issue Indefinite 26.000km,33,1
Rail internal defect,Rail Internal Defect,33,9
Rail surface defect,11-Aug-24 Rail Surface Defect,33,1
Rail internal defect,7-Aug-24 Rail Internal Defect,32,1
Rail surface defect,27-Jun-25 Rail Surface Defect,32,4
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Indefinite Robbs Jetty Crossing Review,31,1
Rail surface defect,21-Nov-25 Rail Surface Defect,31,2
Turnout / points,Turnout defects & turnout design issues,30,3
Platform / station,25-Mar-25 Platform Gap,28,1
Rail surface defect,17-Oct-24 Rail Surface Defect,27,1
Track condition,Track Defect,27,5
Track geometry,20-Mar-23 Track Geometry,27,1
Structures / bridge,13-Jun-24 Structural integrity,26,1
Turnout / points,22-Feb-24 Points Fault,26,1
Other / review required,Loch St Ped Xing Indefinite Up Main issues,24,1
Structures / bridge,3-Sep-24 Structural integrity,24,2
Track geometry,7-Jul-22 Track Geometry,24,1
Level crossing / pedestrian crossing,01-Sep-11 Pedestrian Crossing Indefinite 26.000km,23,1
Rail surface defect,28-Jul-22 Rail Surface Defect,23,1
Rail surface defect,15-Sep-25 Rail Surface Defect,22,2
Structures / bridge,03-Sep-24 Structural Integrity TBD,22,1
Rail internal defect,03-Feb-26 Ultrasonic Defect,21,4
Rail surface defect,15-Nov-25 Rail Surface Defect,21,2
Signals / train control,05-Aug-21 Signals,21,2
Track condition,Rail wear/ flanging,21,4
Track geometry,22-Apr-22 Track Geometry,21,3
Track geometry,29-Apr-23 Track Geometry,21,1
Track geometry,8-May-23 Track Geometry,21,1
Other / review required,Jul-22,20,2
Rail surface defect,12-Aug-25 Rail Surface Defect,20,3
Rail surface defect,9-Aug-24 Rail Surface Defect,20,1
Rail surface defect,3-Sep-24 Rail Surface Defect,19,2
Track condition,Track Project Works,19,2
Track geometry,4-Jun-23 Track Geometry,19,1
Track geometry,1-Nov-23 Track Geometry,18,2
Track geometry,"Track Geometry ,",18,1
Rail surface defect,28-Jul-22 Rail Surface defects,17,1
Track geometry,Geometry Defects,17,3
Turnout / points,17-Sep-21 Turnouts,17,1
Turnout / points,Points Defect,17,2
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Indefinite Robbs Jetty B-Directional Crossing Review,15,1
Structures / bridge,27-Jun-25 Structural Integrity TBD,15,2
Track geometry,23-Oct-23 Track Geometry,15,3
Track geometry,Track geometry,15,1
Turnout / points,08-Feb-24 Points Fault,15,3
Turnout / points,15-Oct-24 Points Fault,14,1
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Indefinite Robbs Jetty Directional Crossing Review,13,1
Other / review required,09-Jan,13,2
Other / review required,Jetty Review 2011,13,1
Track condition,Track defects,13,3
Track geometry,09-Jan-24 Track Geometry,13,3
Turnout / points,3-Sep-24 Turnout 01/02/2026,13,1
Turnout / points,Turnout Defects,13,3
