line_key,line_name,location_direction,affected_area,location_from_km,location_to_km,restriction_occurrences,distinct_tsr_count,first_seen_notice_date,last_seen_notice_date
MTM,Midland Line,Unknown,MTMDN 7.900km - 8.150km,7.9,8.15,108,5,2023-11-12,2026-06-28
MTM,Midland Line,Unknown,MTMUP 8.100km - 8.200km,8.1,8.2,96,3,2024-07-28,2026-06-28
JTM,Joondalup Line,Unknown,JTMDN 19.150km - 20.150km,19.15,20.15,94,2,2024-07-28,2026-06-28
FTM,Fremantle Line,Unknown,FTMUP 6.950km - 7.170km,6.95,7.17,93,3,2024-07-28,2026-06-28
JTM,Joondalup Line,Unknown,JTMUP 8.689km - 8.989km,8.689,8.989,93,1,2024-07-28,2026-06-28
JTM,Joondalup Line,Unknown,JTMUP 19.150km - 20.150km,19.15,20.15,80,1,2024-07-28,2026-03-08
JTM,Joondalup Line,Unknown,JTMUP 40.429km - 40.660km,40.429,40.66,72,1,2024-11-24,2026-04-19
JTM,Joondalup Line,Unknown,JTMUP 40.660km - 40.420km,40.42,40.66,72,2,2024-11-24,2026-04-19
MTM,Midland Line,Unknown,MTMUP 0.660km - 0.950km,0.66,0.95,69,2,2025-03-09,2026-06-28
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 40.747km - 40.874km,40.747,40.874,67,2,2024-07-28,2026-04-26
FTM,Fremantle Line,Unknown,FTMDN 6.800km - 7.1700km,6.8,7.17,64,2,2025-04-06,2026-06-28
JTM,Joondalup Line,Unknown,Whitfords,,,64,12,2019-11-02,2020-11-21
MTM,Midland Line,Unknown,MTMDN 0.660km - 0.800km,0.66,0.8,61,1,2025-02-09,2026-04-05
JTM,Joondalup Line,Unknown,JTMDN 25.848km - 25.960km,25.848,25.96,58,1,2024-09-22,2025-12-21
JTM,Joondalup Line,Unknown,JTMUP 40.537km - 40.430km,40.43,40.537,57,2,2025-03-02,2026-04-19
MTM,Midland Line,Unknown,MTMDN 13.591km - 13.695km,13.591,13.695,54,5,2025-02-02,2026-02-08
TTM,Thornlie Line,Unknown,TTMUP 01.450km - 02.550km,1.45,2.55,52,1,2025-06-29,2026-06-28
FTM,Fremantle Line,Unknown,Fremantle - Robbs Jetty,,,47,3,2018-12-01,2020-08-01
ATM,Armadale Line,Unknown,ATMBI 40.7470km to 40.8740km,40.747,40.874,46,2,2022-12-24,2023-11-05
ATM,Armadale Line,Unknown,ATMUP 16.8200km to 17.0000km,16.82,16.82,46,1,2022-12-24,2023-11-05
ATM,Armadale Line,Unknown,ATMUP 19.2940km to 19.5070km,19.294,19.507,46,1,2022-12-24,2023-11-05
FTM,Fremantle Line,Unknown,FTMDN 6.9500km to 7.1700km,6.95,7.17,46,1,2022-12-24,2023-11-05
FTM,Fremantle Line,Unknown,FTMUP 0.1600km to 0.6700km,0.16,0.67,46,2,2022-12-24,2023-11-05
FTM,Fremantle Line,Unknown,FTMUP 9.5800KM to 9.5800km,9.58,9.58,46,1,2022-12-24,2023-11-05
JTM,Joondalup Line,Unknown,JTMDN 32.6200km to 32.7500km,32.62,32.75,46,1,2022-12-24,2023-11-05
JTM,Joondalup Line,Unknown,JTMUP 19.1500KM to 20.1500km,19.15,20.15,46,2,2022-12-24,2023-11-05
JTM,Joondalup Line,Unknown,JTMUP 25.848km to 25.960km,25.848,25.96,46,1,2022-12-24,2023-11-05
MTM,Midland Line,Unknown,MTMDN 7.900km to 8.150km,7.9,8.15,46,1,2022-12-24,2023-11-05
MTM,Midland Line,Unknown,MTMUP 0.7170km to 1.6250km,0.717,1.625,46,1,2022-12-24,2023-11-05
MTM,Midland Line,Unknown,MTMUP 8.1000km to 8.2000km,8.1,8.2,46,1,2022-12-24,2023-11-05
FTM,Fremantle Line,Unknown,FTMUP 6.9500km to 7.1700,6.95,7.17,44,1,2022-12-24,2023-10-22
JTM,Joondalup Line,Unknown,JTMUP 25.848km - 25.960km,25.848,25.96,44,2,2023-11-12,2025-06-22
UNCLASSIFIED,Unclassified,Unknown,JTXBI 53.947km - 54.112km,53.947,54.112,43,1,2024-07-28,2025-07-20
ATM,Armadale Line,Unknown,ATMDN 23.0500km to 23.4000km,23.05,23.4,41,2,2022-12-24,2023-10-01
MTM,Midland Line,Unknown,Bassendean,,,41,10,2020-02-22,2020-09-05
FTM,Fremantle Line,Unknown,FTM 0.000km - 0.000km,,,37,2,2025-03-09,2025-12-14
FTM,Fremantle Line,Unknown,FTMUP 0.160km - 0.800km,0.16,0.8,37,1,2024-09-08,2025-06-22
MTM,Midland Line,Unknown,MTMUP 0.7170km - 1.6250km,0.717,1.625,36,1,2023-11-12,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 40.7470km -,40.747,40.747,36,1,2023-11-12,2024-07-21
MTM,Midland Line,Unknown,MTMDN 9.182km - 9.650km,9.182,9.65,35,1,2025-09-14,2026-05-10
FTM,Fremantle Line,Unknown,FTMDN 14.935km - 15.035km,14.935,15.035,34,2,2024-09-01,2025-05-11
JTM,Joondalup Line,Unknown,Joondalup,,,34,8,2020-03-28,2020-11-21
JTMDN,Joondalup Line,Down,Down Main design issues Whitfords JTMUP 20.150km to 19.150km,19.15,20.15,34,2,2021-11-06,2022-10-01
FTM,Fremantle Line,Unknown,40.8740km FTMUP 9.5800KM - 9.5800km 40.8740km FTMUP 9.5800KM - 9.5800km,9.58,40.874,33,1,2023-11-26,2024-07-21
MTM,Midland Line,Unknown,MTMDN 0.6600km - 1.3000km,0.66,1.3,33,1,2023-12-03,2024-07-21
MTM,Midland Line,Unknown,MTMDN 0.8000km to 1.3000km,0.8,1.3,33,1,2022-12-24,2023-08-04
MTM,Midland Line,Unknown,MTMUP 13.620km - 13.400km,13.4,13.62,33,1,2024-08-18,2025-05-04
MTM,Midland Line,Unknown,MTMUP 8.1000km - 8.2000km,8.1,8.2,33,4,2023-11-12,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 21.012km - N/A,21.012,21.012,32,1,2023-11-19,2024-06-30
FTM,Fremantle Line,Unknown,FTMUP 14.510km - 14.670km,14.51,14.67,31,2,2025-11-30,2026-06-28
