tsr_master_id,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,line_key,line_name,location_direction,affected_area,latest_location,latest_line_section,latest_distance_km,location_from_km,location_to_km,latest_stn_no,latest_max_speed,date_imposed_raw,date_imposed_normalised,latest_reason_raw,latest_reason_group,latest_date_cancelled_raw,latest_date_cancelled,master_fingerprint,row_quality,normalisation_notes
1,2018-09-01,2018-11-24,13,0,2018-11-24,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,2018-11-24,31d858fc847a848eef8a03061b90dccdc9c3abf43c21e357a7e33d6a70d55be7,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
2,2018-09-01,2018-09-01,1,0,2018-09-01,UNCLASSIFIED,Unclassified,Unknown,Jetty Review 2011 East Perth 0.250km to,Jetty Review 2011 East Perth,Jetty Review 2011 East Perth,0.250km to,0.25,0.25,,30km/h,09 February,2018-02-09,Rail Defects,Track condition,,2018-09-01,2128481193d21a85189f6f1f6eb257b6faf4b3fb03dbb17c6a74453bccc02b40,repaired,strategy=text_line; line_not_inferred; direction_not_inferred
3,2018-09-01,2018-09-01,1,0,2018-09-01,UNCLASSIFIED,Unclassified,Down,Down Mains) East Perth 4.883km to,Down Mains) East Perth,Down Mains) East Perth,4.883km to,4.883,4.883,,80km/h,14 February,2018-02-14,Rail Defect at 856A,Track condition,,2018-09-01,a1124efd3a70595b1e0305e2aafd98dd6bf006451cec62bdb54bdf4ece7a4de3,repaired,strategy=text_line; line_not_inferred
16,2018-12-01,2019-01-25,9,0,2019-01-25,FTM,Fremantle Line,Unknown,Fremantle - Robbs Jetty,Fremantle - Robbs Jetty,Fremantle - Robbs Jetty,,,,Section,30km/h,Pedestrian Crossing Review,,September 2011,Other / review required,,2019-01-25,e9ee57f1f8ab39efee8f5686c4e241e4806f7815329a3f68f0c53792bc7611a0,repaired,strategy=table_lines; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
24,2019-01-18,2019-01-25,2,0,2019-01-25,JTM,Joondalup Line,Unknown,Leederville- Stirling,Leederville- Stirling,Leederville- Stirling,,,,2.690 to 2.810 Down Main,40km/h,Sleeper Condition on Vincent St Bridge,,December 25th 2018,Other / review required,,2019-01-25,476d75beddd0b3f5fd8be3837f18d77cff74d53d565c68a4dd6bc1e5c4835064,repaired,strategy=table_lines; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
27,2019-03-23,2019-03-23,1,0,2019-03-23,FTM,Fremantle Line,Unknown,Fremantle - Robbs Section,Fremantle - Robbs Section,Fremantle - Robbs Section,,,,,30km/h,Ped 30km/h,,estrian Crossing,Level crossing / pedestrian crossing,TBA,2019-03-23,0cc122f08d97778ce55c6e49e17a95844ab9dc169bab451891eb62e4e75f3869,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
28,2019-03-23,2019-03-23,1,0,2019-03-23,JTM,Joondalup Line,Unknown,2.4 Leederville- Stirling 65 to 2.780 2.4 Leederville- Stirling 65 to 2.780,2.4 Leederville- Stirling 65 to 2.780,2.4 Leederville- Stirling 65 to 2.780,2.4 Leederville- Stirling 65 to 2.780,2.4,2.78,,40km/h,Slee 40km/h,,per Condition on A,Other / review required,pril 12th 20,2019-03-23,f4f3f56a87566b4f315a73d06f7b57e57789ae39585e4b60fd792b388987e474,repaired,strategy=table_text; direction_not_inferred; date_imposed_not_normalised
29,2019-03-23,2019-03-23,1,0,2019-03-23,FTM,Fremantle Line,Unknown,8.00 Fremantle Line 0 to 8.539 U p 8.00 Fremantle Line 0 to 8.539 U p,8.00 Fremantle Line 0 to 8.539 U p,8.00 Fremantle Line 0 to 8.539 U p,8.00 Fremantle Line 0 to 8.539 U p,8.539,8.539,,40km/h,40km/h,,Re-Rail March 18,New rail / weld,March 18,2019-03-18,b72d3a6a3cf8496bd54ebbf2c56aba1585c9acf2bbdcfaa7c335e1207eeef006,repaired,strategy=table_text; direction_not_inferred; date_imposed_not_normalised
30,2019-03-23,2019-03-23,1,0,2019-03-23,FTM,Fremantle Line,Unknown,8.6 Fremantle Line 51 to 8.851 8.6 Fremantle Line 51 to 8.851,8.6 Fremantle Line 51 to 8.851,8.6 Fremantle Line 51 to 8.851,8.6 Fremantle Line 51 to 8.851,8.6,8.851,,40km/h,40km/h,,Re-Rail March 18,New rail / weld,March 18,2019-03-18,c34166f118c0691c544da6d848cfdf064d2207da247465468b5e9c7f55e26473,repaired,strategy=table_text; direction_not_inferred; date_imposed_not_normalised
31,2019-03-30,2019-05-25,7,0,2019-05-25,FTM,Fremantle Line,Unknown,Fremantle - Robbs Section,Fremantle - Robbs Section,Fremantle - Robbs Section,,,,,30km/h,30km/h,,Pedestrian,Level crossing / pedestrian crossing,,2019-05-25,debd07b21db8a3629475e7892143df6f90d241ee5623a78d81bd3256c929a074,repaired,strategy=table_text; no_numeric_chainage_supplied; direction_not_inferred; date_imposed_not_normalised
