tsr_record_id,tsr_master_id,notice_date,line_key,line_name,location_direction,affected_area,location,line_section,distance_km,location_from_km,location_to_km,stn_no,max_speed,date_imposed_raw,date_imposed_normalised,reason_raw,reason_group,date_cancelled_raw,date_cancelled_normalised,source_pdf,source_url,source_page,source_row_number,extraction_strategy,row_quality,normalisation_notes
1,1,2018-09-01,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.34 - Week Ending 1st September 2018__67d8835415.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.34 - Week Ending 1st September 2018.pdf?ver=j_wYt-nTRTM%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
2,2,2018-09-01,UNCLASSIFIED,Unclassified,Unknown,Jetty Review 2011 East Perth 0.250km to,Jetty Review 2011 East Perth,Jetty Review 2011 East Perth,0.250km to,0.25,0.25,,30km/h,09 February,2018-02-09,Rail Defects,Track condition,,,Weekly Notice No.34 - Week Ending 1st September 2018__67d8835415.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.34 - Week Ending 1st September 2018.pdf?ver=j_wYt-nTRTM%3d,3,2,text_line,repaired,strategy=text_line; line_not_inferred; direction_not_inferred
3,3,2018-09-01,UNCLASSIFIED,Unclassified,Down,Down Mains) East Perth 4.883km to,Down Mains) East Perth,Down Mains) East Perth,4.883km to,4.883,4.883,,80km/h,14 February,2018-02-14,Rail Defect at 856A,Track condition,,,Weekly Notice No.34 - Week Ending 1st September 2018__67d8835415.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.34 - Week Ending 1st September 2018.pdf?ver=j_wYt-nTRTM%3d,3,3,text_line,repaired,strategy=text_line; line_not_inferred
4,1,2018-09-08,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.35 - Week Ending 8th September 2018__547a6a18b7.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.35 - Week Ending 8th September 2018.pdf?ver=SY0veHwImv0sDlvtcn8g6Q%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
5,1,2018-09-15,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.36 - Week Ending 15th September 2018__2dd84612cd.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.36 - Week Ending 15th September 2018.pdf?ver=5V4ohC1SH40hxVGwsDtGIA%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
6,1,2018-09-22,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.37 - Week Ending 22nd September 2018__1240238870.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.37 - Week Ending 22nd September 2018.pdf?ver=92TgGDfpz0fufUNmsJhCcQ%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
7,1,2018-09-29,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.38 - Week Ending 29th September 2018__53ddf02739.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.38 - Week Ending 29th September 2018.pdf?ver=f3vxvm086Ht2CNjyZpiyog%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
8,1,2018-10-06,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.39 - Week Ending 6th October 2018__82fd090aca.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.39 - Week Ending 6th October 2018.pdf?ver=HVMkvMIhYie1EOcEA2-feg%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
9,1,2018-10-13,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.40 - Week Ending 13th October 2018__60e3f82b67.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.40 - Week Ending 13th October 2018.pdf?ver=mErknZob8i95dRgPzM215g%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
10,1,2018-10-20,FTM,Fremantle Line,Unknown,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,Fremantle - Robbs Pedestrian Crossing September Section,,,,,30km/h,,,Jetty Review 2011,Other / review required,,,Weekly Notice No.41 - Week Ending 20th October 2018__de3e59e18c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.41 - Week Ending 20th October 2018.pdf?ver=28uY-iJAc6LbAKki1Z_u_g%3d%3d,3,1,text_line,repaired,strategy=text_line; no_numeric_chainage_supplied; direction_not_inferred
