rejected_row_id,notice_date,source_pdf,source_page,source_row_number,reject_reason,rejection_category,suggested_action,review_status,raw_row_json
1,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,1,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Current"", ""Spe"", ""ed Restric"", ""tions"", """"]"
2,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,3,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Dis"", ""tance at or"", ""M"", ""aximum"", ""Reason for"", ""Date to be""]"
3,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,6,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""be"", ""tween (km)"", """", ""Speed"", ""Restriction"", """"]"
4,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,12,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Jetty"", """", """", """", ""Review"", """"]"
5,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,17,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""D"", ""own Main"", """", ""Vin"", ""cent St Bridge"", """"]"
6,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,22,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Main"", """", """", """", ""2019""]"
7,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,27,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""D"", ""own Main"", """", """", """", ""2019""]"
8,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,29,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Contact"", ""Tele"", ""phone Nu"", ""mbers"", """"]"
9,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,31,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Train Control"", """", ""9326"", ""3026"", """", """"]"
10,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,33,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Electric Control Officer (ECO"", "")"", ""9326"", ""2722"", """", """"]"
11,2019-03-23,Weekly Notice No. 11 Week Ending- 23rd March 2019__746a9bae35.pdf,3,35,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Infrastructure Control Officer"", ""(ICO)"", ""9326"", ""2038"", """", """"]"
12,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,1,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Current"", ""Spe"", ""ed Rest"", ""riction"", """"]"
13,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,3,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Dis"", ""tance at or"", ""M"", ""aximum"", ""Reaso"", """"]"
14,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,6,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""be"", ""tween (km)"", """", ""Speed"", ""Restri"", """"]"
15,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,12,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Jetty"", """", """", """", ""Revi"", """"]"
16,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,17,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""D"", ""own Main"", """", """", ""Vincent S"", """"]"
17,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,19,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Contact"", ""Tele"", ""phone N"", ""umber"", """"]"
18,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,21,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Train Control"", """", ""9326"", ""3026"", """", """"]"
19,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,23,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Electric Control Officer (ECO"", "")"", ""9326"", ""2722"", """", """"]"
20,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,25,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Infrastructure Control Officer"", ""(ICO)"", ""9326"", ""2038"", """", """"]"
21,2019-03-30,Weekly Notice No. 12 Week Ending- 30th March 2019__39ab861c86.pdf,3,27,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", """", """", ""Public"", ""Transport A"", """"]"
22,2019-04-13,Weekly Notice No. 14 Week Ending- 13th April 2019__91eba11c60.pdf,3,1,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"["""", ""Current"", ""Spe"", ""ed Rest"", ""riction"", """"]"
23,2019-04-13,Weekly Notice No. 14 Week Ending- 13th April 2019__91eba11c60.pdf,3,3,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Dis"", ""tance at or"", ""M"", ""aximum"", ""Reaso"", """"]"
24,2019-04-13,Weekly Notice No. 14 Week Ending- 13th April 2019__91eba11c60.pdf,3,6,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""be"", ""tween (km)"", """", ""Speed"", ""Restri"", """"]"
25,2019-04-13,Weekly Notice No. 14 Week Ending- 13th April 2019__91eba11c60.pdf,3,12,missing_or_invalid_speed,manual_review_required,ignore_or_stitch_fragment,unreviewed,"[""Jetty"", """", """", """", ""Revi"", """"]"
