source_pdf_id,notice_date,filename,url,status,tsr_table_count,tsr_row_count,rejected_row_count,artifact_row_count,extraction_strategy,last_error
388,,Weekly Notice No. 22 Week Ending 30th May 2020 (1)__b83286846e.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2020/Previous Weekly Notice/5. May 2020/Weekly Notice No. 22 Week Ending 30th May 2020 (1).pdf?ver=0mq2ucVg2YMpKsfAYNVu_g%3d%3d,failed,0,0,0,0,,Unable to determine notice date for Weekly Notice No. 22 Week Ending 30th May 2020 (1)__b83286846e.pdf
387,,Weekly Notice No. 48 Week Ending- 30th November 2019.docx__74d4bafea6.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 48 Week Ending- 30th November 2019.docx.pdf?ver=wSj9PTy8wpuz0MXPZD4ZRg%3d%3d,failed,0,0,0,0,,Unable to determine notice date for Weekly Notice No. 48 Week Ending- 30th November 2019.docx__74d4bafea6.pdf
1,2018-09-01,Weekly Notice No.34 - Week Ending 1st September 2018__67d8835415.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.34 - Week Ending 1st September 2018.pdf?ver=j_wYt-nTRTM%3d,processed,2,3,0,0,table_lines:1;text_line:1,
2,2018-09-08,Weekly Notice No.35 - Week Ending 8th September 2018__547a6a18b7.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.35 - Week Ending 8th September 2018.pdf?ver=SY0veHwImv0sDlvtcn8g6Q%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
3,2018-09-15,Weekly Notice No.36 - Week Ending 15th September 2018__2dd84612cd.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.36 - Week Ending 15th September 2018.pdf?ver=5V4ohC1SH40hxVGwsDtGIA%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
4,2018-09-22,Weekly Notice No.37 - Week Ending 22nd September 2018__1240238870.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.37 - Week Ending 22nd September 2018.pdf?ver=92TgGDfpz0fufUNmsJhCcQ%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
5,2018-09-29,Weekly Notice No.38 - Week Ending 29th September 2018__53ddf02739.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.38 - Week Ending 29th September 2018.pdf?ver=f3vxvm086Ht2CNjyZpiyog%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
6,2018-10-06,Weekly Notice No.39 - Week Ending 6th October 2018__82fd090aca.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.39 - Week Ending 6th October 2018.pdf?ver=HVMkvMIhYie1EOcEA2-feg%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
7,2018-10-13,Weekly Notice No.40 - Week Ending 13th October 2018__60e3f82b67.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.40 - Week Ending 13th October 2018.pdf?ver=mErknZob8i95dRgPzM215g%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
8,2018-10-20,Weekly Notice No.41 - Week Ending 20th October 2018__de3e59e18c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No.41 - Week Ending 20th October 2018.pdf?ver=28uY-iJAc6LbAKki1Z_u_g%3d%3d,processed,2,1,0,0,table_lines:1;text_line:1,
